url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/259032/serenas-strawberry-lassi/,Serena&#39;s Strawberry Lassi,5 mins,"This is an absolutely delicious, refreshing Indian yogurt drink with fresh strawberries. It is so tasty that it is almost like a dessert.","Step1: Combine yogurt, strawberries, ice, and sugar in a blender. Blend until smooth.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F643195ff00492a93f03ea8248f8cd7d5%2F4537180.jpg,"2 cups plain whole-milk yogurt, 2 cups strawberries, 1 cup ice, 0.5 cup white sugar",5 mins,2,5 mins,2023-07-28T16:35:37Z
https://www.allrecipes.com/recipe/20435/indian-lassi/,Indian Lassi,15 mins,"Learn what a lassi drink is with this basic recipe made with yogurt, cold water, sugar, and salt, served with lots of ice for a refreshing beverage.","Step1: Fill 6 tall glasses with ice cubes. Place yogurt, ice water, crushed ice, sugar, and salt in a blender; blend until frothy. Pour over ice cubes in the glasses to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F6ecda729f0ffb26ffb5a9e7801b87f28%2F1663965703Indian%2520Lassi.jpg,"ice cubes, 1.75 cups plain yogurt, 1.5 cups ice water, 6 cubes ice, crushed, 2 teaspoons white sugar, 1 pinch salt",15 mins,6,15 mins,2023-07-28T16:36:25Z
https://www.allrecipes.com/recipe/32680/chai-tea/,Chai Tea,5 mins,"This delightfully spiced tea uses cardamom, cinnamon and pepper for flavor.","Step1: In a saucepan, bring water to a boil. Add the tea bags, cardamom seeds, cinnamon, and black pepper, then return to a boil. Immediately stir in sugar. Step2: Remove pot from heat and let stand for 5 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1762157.jpg,"1.5 quarts water, 4 black tea bags, 10 whole cardamom seeds, 2 cinnamon stick, broken in half, 1 teaspoon black peppercorns, 3 tablespoons white sugar",5 mins,6,10 mins,2023-07-28T16:38:38Z
https://www.allrecipes.com/recipe/222513/chai-tea-latte/,Chai Tea Latte,5 mins,"Make your own milky chai tea lattes with this homemade recipe that uses boiling water, milk, sugar, honey, and a chai tea bag. Delicious hot or iced!",Step1: Pour boiling water over chai tea bag in a mug; let steep 4 to 6 minutes. Remove and discard tea bag. Step2: Stir honey and sugar into tea to dissolve. Stir milk through tea to serve.,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0bea9aae981bbb6bc83e4bfaab3b8a00%2F168104633592420230409_090248.jpg,"0.75 cup boiling water, 1 chai tea bag, 1.5 teaspoons honey, 1 teaspoon white sugar, 0.75 cup milk",5 mins,1,5 mins,2023-07-28T16:39:38Z
https://www.allrecipes.com/recipe/143442/railroad-style-chai/,Railroad-Style Chai,5 mins,"No need to ride the rails in India to get the distinctive spiced tea served there. Use black tea, fennel, cardamom, and cloves to enjoy from home.","Step1: Bring water to a boil in a saucepan; add fennel, cloves, and cardamom. Continue boiling water for 3 minutes. Step2: Stir milk into the water and return mixture to a low boil; add tea bags, reduce heat to low, and boil until the tea has a strong, but not bitter flavor, 2 to 3 minutes. Step3: Strain tea into 4 tea mugs; sweeten with sugar to individual tastes.",https://www.allrecipes.com/thmb/8lVdAnKy6hBi1dR5eK5KGMJqKwM=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2):format(webp)/AR_FF_chipotle_rice43-76294ac8faf248bcac054653c04e75c2.jpg,"2 cups water, 1 tablespoon fennel seed, 4 whole cloves, or more to taste, 1.5 teaspoons cardamom seeds, 2 cups whole milk, 4 black tea bags, or more to taste, 1 tablespoon white sugar, or to taste",5 mins,4,10 mins,2023-07-28T16:40:18Z
https://www.allrecipes.com/recipe/32620/mango-lassi-ii/,Mango Lassi II,5 mins,"This creamy, smooth mango lassi is made with yogurt and mango and is absolutely heavenly.","Step1: In a blender, combine mangos, yogurt, sugar and ice. Blend until smooth. Pour into glasses and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9106878.jpg,"2 mangos - peeled, seeded and diced, 2 cups plain yogurt, 0.5 cup white sugar, 1 cup ice",5 mins,2,5 mins,2023-07-28T16:40:53Z
https://www.allrecipes.com/recipe/58982/masala-chai/,Masala Chai,5 mins,"This chai is hot and flavorful thanks to its use of cardamom, clove, and peppercornâ€”gotta love it!","Step1: Combine the water and sugar in a small saucepan, and bring to a boil. Add the cardamom pod, clove, peppercorns and tea leaves. Remove from heat, and let the mixture steep for 2 to 3 minutes. Strain into a cup, and fill cup the rest of the way with milk. Sit back, relax, and enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F492542.jpg,"1 cup water, 1.5 teaspoons sugar, 1 whole cardamom pod, 1 whole clove, 2 black peppercorns, 3 teaspoons black tea leaves, 0.5 cup warm milk",5 mins,1,10 mins,2023-07-28T16:41:06Z
https://www.allrecipes.com/recipe/183664/mango-mint-lassi-with-indian-sweet-spices/,Mango-Mint Lassi with Indian Sweet Spices,15 mins,Mint and mango are joined by star anise and cardamom in this refreshing Indian yogurt drink.,"Step1: Blend the mango, brown sugar, chopped mint, star anise, cardamom, lime juice, and yogurt in a blender on high speed until smooth. Pour into glasses and garnish with fresh mint sprigs to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F451101.jpg,"1 large mango - peeled, seeded, and diced, 3 tablespoons brown sugar, 2 tablespoons chopped fresh mint, 1 teaspoon freshly ground star anise, 1 teaspoon freshly ground cardamom, 1 tablespoon lime juice, 2 cups plain yogurt, 3 sprigs fresh mint for garnish",15 mins,3,15 mins,2023-07-28T16:41:26Z
https://www.allrecipes.com/recipe/238362/banana-lassi/,Banana Lassi,10 mins,"If you don&#39;t have any mango on hand, why not substitute in a banana to make a creamy banana lassi to go with your Indian food?","Step1: Blend bananas, yogurt, milk, ice cubes, and sugar together in a blender until smooth.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8629249.jpg,"2 over-ripe bananas, broken into chunks, 1.25 cups thick plain yogurt, 0.33333334326744 cup milk, or more to taste, 2 ice cubes, 2 tablespoons white sugar",10 mins,2,10 mins,2023-07-28T16:42:00Z
https://www.allrecipes.com/recipe/219292/hot-coffee-masala/,Hot Coffee Masala,5 mins,"This warming, spicy coffee drink contains interesting Asian spices, giving it a chai-like flavor.","Step1: In a saucepan, bring the water to a boil, and stir in the cumin seeds, star anise pod, and cinnamon stick; reduce heat to a simmer, and cook for 3 minutes, stirring occasionally. Stir in the instant coffee, and allow the drink to simmer gently for 2 more minutes. Pour the drink into mugs, straining out the spices, and stir 1 teaspoon of nonfat dry milk powder and 1 teaspoon of white sugar into each mug.",https://www.allrecipes.com/thmb/Xht0lKKadHKQwMUv7rhHKX4p4Pw=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(2258x1743:2260x1745):format(webp)/7497387-chickpea-tikka-masala-ddmfs_4x3_1791-e0838138030a4b55ac7340027bc2b47f.jpg,"2 cups water, 2 cumin seeds, or to taste, 1 whole star anise pod, 0.5 cinnamon stick, 1.5 teaspoons instant coffee granules, 2 teaspoons nonfat dry milk powder, 2 teaspoons white sugar",5 mins,2,10 mins,2023-07-28T16:44:41Z
https://www.allrecipes.com/recipe/172227/salty-cumin-lassi/,Salty Cumin Lassi,10 mins,Toasted cumin seeds and salt flavor this Indian yogurt drink.,"Step1: Toast the cumin seeds in a small skillet over medium heat until they appear to be black and charred, about 8 minutes. Allow to cool to room temp; grind into a fine powder. Step2: Blend the ice, milk, yogurt, salt, and ground cumin together in a blender on high speed until smooth.",https://www.allrecipes.com/thmb/CA0jpMf7D-mEkvYw8bd_T4-vi-A=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2):format(webp)/image-2000-80609848c7a94a4c92f9fb51600c8545.jpg,"2 tablespoons cumin seeds, 2 cups ice cubes, 1 cup nonfat milk, 3 cups nonfat plain yogurt, 0.5 teaspoon salt, or to taste",5 mins,4,30 mins,2023-07-28T16:44:54Z
https://www.allrecipes.com/recipe/141367/strawberry-lassi/,Strawberry Lassi,10 mins,"First popular in Punjab, India, and originally sometimes flavored with ground cumin, today&#39;s version of lassi is a sweet, frothy blend of yogurt, milk, and fruit served well chilled.","Step1: Cut 3 strawberries into small pieces and set aside. In a blender, place the remaining strawberries and sugar; blend on high speed for 30 seconds. Pour in the milk and blend another 30 seconds. Add the yogurt and blend on high speed for 1 minute. Step2: To serve, place 1 ice cube in each of 3 glasses and pour in the lassi. Top with the strawberry pieces and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9233710.jpg,"9 ripe strawberries, rinsed, 2 tablespoons white sugar, 0.25 cup whole milk, 1 cup low-fat yogurt, 3 ice cubes",10 mins,3,10 mins,2023-07-28T16:47:09Z
https://www.allrecipes.com/recipe/258801/turmeric-golden-milk-with-turmeric-paste/,Turmeric Golden Milk with Turmeric Paste,20 mins,"A bright golden turmeric paste is heated with almond milk, spices, and coconut oil to make this soothing drink you can sip before bedtime.","Step1: Make paste: Combine 1/2 cup water, turmeric, and pepper in a small saucepan over low heat. Cook, stirring constantly, until thickened, 7 to 9 minutes. Stir in 1 teaspoon water and continue cooking until thickened into a paste, 7 to 9 minutes. Allow to cool completely, 15 to 20 minutes. Store turmeric paste in an airtight glass jar in the refrigerator. Step2: Make milk: Whisk together almond milk, 1 teaspoon turmeric paste, coconut oil, ginger, and cinnamon in a saucepan. Place over low heat until hot, about 5 minutes. Remove from heat; stir in honey. Strain milk mixture into 2 mugs.",https://www.allrecipes.com/thmb/ZYZNTiW4lnPLMi1xqsLyLNbBs2c=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2):format(webp)/2197016-08d978d6bd234a06931c46c77fb47ed2.jpg,"0.5 cup water, 0.25 cup ground turmeric, 0.5 teaspoon ground black pepper, 1 teaspoon water, or as needed, 2 cups almond milk, 1 teaspoon extra-virgin coconut oil, 1 teaspoon ground ginger, 1 teaspoon ground cinnamon, 1 teaspoon raw honey",5 mins,2,40 mins,2023-07-28T16:50:46Z
https://www.allrecipes.com/recipe/202402/easy-mango-lassi/,Easy Mango Lassi,1 hr,This delicious mango and yogurt shake is great for extinguishing the fire in your mouth after eating hot curries!,"Step1: Place the yogurt, milk, mangoes, white sugar, and cardamom into the jar of a blender and blend until smooth, about 2 minutes. Chill in the refrigerator for 1 hour or until cold, and serve sprinkled with a little ground cardamom.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8375061.jpg,"2 cups plain whole milk yogurt, 1 cup milk, 3 mangoes - peeled, seeded, and chopped, 4 teaspoons white sugar, or to taste, 0.125 teaspoon ground cardamom",10 mins,4,1 hr 10 mins,2023-07-28T16:50:54Z
https://www.allrecipes.com/recipe/241638/hot-and-spicy-himalayan-tea-chai-tea/,Hot and Spicy Himalayan Tea (Chai Tea),25 mins,"Skip the specialty coffee shop and make a steaming hot cup of chai tea at home with warming spices, ginger, milk, brown sugar, and tea leaves.","Step1: Combine water, brown sugar, ginger, cinnamon stick, cardamom pods, cloves, bay leaves, fennel seeds, and peppercorns together in a pot; cover and boil for 20 minutes. Step2: Remove from the heat, add tea leaves, and allow to steep for 10 minutes. Stir milk into tea mixture and bring to a boil. Strain tea into tea cups.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6741847.jpg,"7 cups water, 6 tablespoons light brown sugar, 1.25 inch piece fresh ginger root, peeled and chopped, 1 cinnamon stick, 6 green cardamom pods, 12 whole cloves, 2 bay leaves, 1 tablespoon fennel seeds, 0.5 teaspoon black peppercorns, 2 tablespoons Darjeeling tea leaves, 1 cup milk",5 mins,8,40 mins,2023-07-28T16:51:04Z
https://www.allrecipes.com/recipe/236294/haldi-ka-doodh-hot-turmeric-milk/,Haldi Ka Doodh (Hot Turmeric Milk),10 mins,"Hot turmeric milk, or haldi ka doodh, is a traditional Indian beverage made with a blend of warm spices used to soothe sore throats and heal colds.","Step1: Whisk together turmeric, cardamom, black pepper, ginger, cloves, and allspice in a small bowl; set aside. Step2: Heat milk in a small saucepan over medium heat until heated through, 3 to 4 minutes; stir honey and vanilla into milk until completely dissolved. Step3: Whisk 1 teaspoon turmeric mixture into milk mixture; reduce heat to medium-low and simmer until flavors blend, 2 to 3 minutes. Pour mixture through a strainer.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F9dc7fb293320d1d68a52f938da00580c%2F1981175.jpg,"0.25 teaspoon ground turmeric, or to taste, 0.25 teaspoon ground cardamom, 0.125 teaspoon ground black pepper, 1 pinch ground ginger, 1 pinch ground cloves, 1 pinch ground allspice, 1 cup milk, 0.75 teaspoon honey, or to taste, 0.125 teaspoon vanilla extract",5 mins,1,15 mins,2023-07-28T16:51:33Z
https://www.allrecipes.com/recipe/241249/chai-tea-concentrate/,Chai Tea Concentrate,10 mins,Homemade chia tea concentrate is simple to prepare using a variety of spices steeped with black tea and brown sugar.,"Step1: Bring water to a boil in a saucepan; add cloves and boil for 1 minute. Add cinnamon sticks, ginger, cardamom pods, peppercorns, and tea. Allow tea to steep for 6 minutes; strain into a container. Stir brown sugar and vanilla extract into tea and refrigerate until chilled, at least 1 hour.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9025582.jpg,"4 cups water, 15 whole cloves, 3 cinnamon sticks, 8 (1/4 inch thick) slices unpeeled fresh ginger, 15 cardamom pods, split, 15 whole black peppercorns, 10 black tea bags, 0.33333334326744 cup brown sugar, 2 teaspoons vanilla extract",5 mins,8,1 hr 15 mins,2023-07-28T16:53:43Z
https://www.allrecipes.com/recipe/58312/slow-cooker-chai/,Slow Cooker Chai,8 hrs,"This crockpot chai made with whole spices, black tea, and condensed milk is spicy, creamy, and sweet. It&#39;s so easy to make with the help of your slow cooker.","Step1: Combine water, cinnamon sticks, cardamom pods, ginger, cloves, and peppercorns in a slow cooker. Cook on High for 8 hours. Step2: Add tea bags to the slow cooker and steep for 5 minutes. Step3: Strain liquid into a clean container; stir in condensed milk. Serve hot.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3892518.jpg,"3.5 quarts water, 3 cinnamon sticks, 15 green cardamom pods, split open and seeded, 15 slices fresh ginger, peeled, 25 whole cloves, 3 whole black peppercorns, 8 black tea bags, 1 (14 ounce) can sweetened condensed milk",15 mins,16,8 hrs 20 mins,2023-07-28T16:54:24Z
https://www.allrecipes.com/recipe/259091/spiced-mango-lassi/,Spiced Mango Lassi,10 mins,"Mango lassi is the queen of mango drinks; this quick and easy recipe features bright Indian spices, frozen mango, vanilla extract, and honey.","Step1: Combine yogurt, mango chunks, mango juice, honey, vanilla extract, ground cardamom, ground cinnamon, and ground ginger in a blender; process until liquefied.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9262111.jpg,"1 cup nonfat plain yogurt, 1 cup frozen mango chunks, 0.25 cup mango juice, 2 tablespoons honey, 0.5 teaspoon vanilla extract, 0.25 teaspoon ground cardamom, 0.125 teaspoon ground cinnamon, 0.125 teaspoon ground ginger",10 mins,1,10 mins,2023-07-28T16:56:34Z
https://www.allrecipes.com/recipe/236750/chocolate-chai-coffee-mix/,Chocolate Chai Coffee Mix,5 mins,This homemade mix will turn your cup of coffee into a delightfully chai-spiced treat.,"Step1: Mix sugar, cocoa powder, cinnamon, salt, ginger, pepper, cloves, and cardamom together in an airtight container; seal and shake.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2Fc800b808da661cdaa3aec9a49074e69d%2F2050506.jpg,"2 cups white sugar, 0.5 cup unsweetened cocoa powder, 1.5 teaspoons ground cinnamon, 0.5 teaspoon salt, 0.5 teaspoon ground ginger, 0.25 teaspoon ground white pepper, 0.25 teaspoon ground cloves, 0.125 teaspoon ground cardamom",5 mins,40,5 mins,2023-07-28T16:56:43Z
https://www.allrecipes.com/recipe/256458/easy-authentic-masala-chai/,Easy Authentic Masala Chai,16 mins,"Black tea is simmered with fragrant spices like ginger, cardamom, and cloves in this quick and easy recipe for authentic masala chai.","Step1: Bring water to a boil in a small pot. Add ginger, cloves, cinnamon stick, green cardamom, and black cardamom; simmer until flavors infuse, about 5 minutes. Add tea bags; simmer for 1 to 2 minutes. Add milk and sugar; bring back to a boil. Strain tea into mugs.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4559835.jpg,"1.5 cups water, 1 (1/2 inch) piece fresh ginger, chopped, 4 whole cloves, 0.5 cinnamon stick, 5 pods green cardamom pods, crushed, 1 pod black cardamom, split open, 2 black tea bags, 0.66666668653488 cup milk, 2 tablespoons white sugar",5 mins,2,21 mins,2023-07-28T16:57:09Z
https://www.allrecipes.com/recipe/244623/turmeric-milk/,Turmeric Milk,5 mins,"Fresh turmeric and fresh ginger give this warm turmeric milk, made with almond milk, a spicy and soothing flavor.","Step1: Combine turmeric root, ginger root, and honey together in a bowl, crushing the turmeric and ginger as much as possible. Step2: Heat almond milk in a saucepan over medium-low heat. Once small bubbles begin to form around the edges, reduce heat to low. Transfer about 2 tablespoon milk to turmeric mixture to allow mixture to soften and honey to melt into a paste-like mixture. Step3: Mix the turmeric paste into milk in the saucepan; raise temperature to medium-low and cook, stirring continuously, until fully combined. Blend with an immersion blender for a smooth texture. Step4: Pour turmeric tea into a mug and top with ground turmeric and cinnamon.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6968114.jpg,"1 (1 1/2 inch) piece fresh turmeric root, peeled and grated, 1 (1/2 inch) piece fresh ginger root, peeled and grated, 1 tablespoon honey, 1 cup unsweetened almond milk, 1 pinch ground turmeric, 1 pinch ground cinnamon",10 mins,1,15 mins,2023-07-28T16:57:51Z